 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,235.155,149.314,0,1.268,1.382,2.399,4.618,9.657,0.236
2,1,1,235.469,149.944,0,1.355,1.345,2.289,4.338,8.987,0.182
3,1,2,235.519,149.923,0,1.330,1.372,2.340,4.393,8.898,0.269
4,1,3,235.273,149.943,0,1.162,1.450,2.655,5.405,11.946,0.158
5,1,4,235.372,149.676,0,1.328,1.352,2.282,4.232,8.455,0.149
6,1,5,235.470,149.776,0,0.929,1.394,2.438,4.696,9.766,0.166
7,1,6,235.313,150.344,0,1.346,1.423,2.517,4.914,10.365,0.167
8,1,7,235.596,152.156,0,1.785,1.475,2.696,5.437,11.840,0.203
9,1,8,236.590,153.187,0,1.658,1.361,2.304,4.272,8.503,0.167
10,1,9,236.171,153.091,0,1.584,1.482,2.748,5.643,12.526,0.167
11,1,10,235.800,153.086,0,1.793,1.516,2.838,5.860,13.040,0.172
12,1,11,235.704,152.850,0,2.270,1.485,2.737,5.584,12.325,0.189
13,1,12,235.804,152.923,0,2.137,1.452,2.632,5.281,11.471,0.201
14,1,13,235.875,152.922,0,1.794,1.400,2.463,4.804,10.176,0.209
15,1,14,235.514,152.132,0,1.995,1.464,2.670,5.392,11.780,0.167
16,1,15,235.537,152.161,0,2.076,1.406,2.489,4.898,10.490,0.186
17,1,16,235.184,151.595,0,1.731,1.522,2.865,5.963,13.401,0.125
18,1,17,235.403,150.647,0,2.221,1.388,2.392,4.529,9.230,0.143
19,1,18,235.789,150.293,0,1.767,1.409,2.487,4.853,10.258,0.177
20,1,19,235.805,149.957,0,2.464,1.404,2.470,4.807,10.139,0.200
21,1,20,235.703,150.375,0,2.651,1.347,2.249,4.100,7.991,0.239
22,1,21,235.618,151.664,0,2.981,1.328,2.206,4.007,7.811,0.169
23,1,22,236.686,151.726,0,2.697,1.325,2.200,4.006,7.843,0.248
24,1,23,237.676,151.585,0,1.930,1.355,2.290,4.248,8.484,0.229
25,1,24,238.227,151.326,0,2.421,1.372,2.342,4.397,8.902,0.262
26,1,25,238.088,150.807,0,2.942,1.396,2.433,4.678,9.706,0.218
27,1,26,237.770,150.959,0,2.734,1.412,2.488,4.842,10.185,0.170
28,1,27,237.704,151.122,0,2.995,1.369,2.334,4.368,8.792,0.430
29,1,28,237.018,151.777,0,2.307,1.364,2.330,4.391,8.956,0.339
30,1,29,237.537,152.345,0,1.873,1.331,2.204,3.984,7.700,0.143
31,1,30,237.482,152.997,0,1.750,1.364,2.341,4.447,9.155,0.154
32,1,31,238.097,153.078,0,1.762,1.415,2.497,4.865,10.250,0.152
33,1,32,239.000,152.076,0,2.138,1.457,2.648,5.334,11.623,0.125
34,1,33,238.541,152.175,0,2.258,1.307,2.155,3.925,7.760,0.143
35,1,34,238.069,151.966,0,2.871,1.404,2.484,4.882,10.423,0.370
36,1,35,237.657,151.608,0,3.206,1.325,2.192,3.974,7.746,0.171
37,1,36,237.115,151.566,0,3.448,1.354,2.300,4.315,8.774,0.173
38,1,37,237.656,150.532,0,3.045,1.360,2.288,4.196,8.220,0.204
39,1,38,237.649,149.928,0,3.363,1.361,2.309,4.307,8.660,0.322
40,1,39,237.641,148.916,0,3.014,1.362,2.313,4.312,8.646,0.259
41,1,40,237.754,149.149,0,3.475,1.366,2.321,4.323,8.649,0.222
42,1,41,238.593,149.470,0,2.995,1.370,2.322,4.304,8.546,0.396
43,1,42,238.988,148.935,0,2.003,1.401,2.461,4.774,10.006,0.217
44,1,43,238.821,149.870,0,2.216,1.438,2.582,5.132,11.038,0.132
45,1,44,237.995,150.366,0,2.071,1.375,2.385,4.590,9.601,0.144
46,1,45,237.715,150.606,0,1.549,1.353,2.268,4.151,8.123,0.143
47,2,0,419.189,189.753,0,1.424,1.388,2.418,4.670,9.794,0.352
48,2,1,419.217,189.256,0,1.661,1.372,2.379,4.578,9.580,0.168
49,2,2,418.053,189.182,0,2.368,1.460,2.652,5.318,11.512,0.167
50,2,3,416.836,189.305,0,2.327,1.421,2.512,4.897,10.306,0.201
51,2,4,416.608,188.693,0,2.055,1.400,2.428,4.627,9.501,0.157
52,2,5,417.905,187.698,0,1.602,1.428,2.546,5.009,10.636,0.133
53,2,6,418.515,188.181,0,2.081,1.419,2.487,4.790,9.929,0.283
54,2,7,418.309,188.541,0,2.632,1.370,2.340,4.388,8.854,0.343
55,2,8,418.744,189.124,0,2.412,1.454,2.636,5.283,11.448,0.167
56,2,9,417.286,189.926,0,1.836,1.417,2.514,4.934,10.478,0.258
57,2,10,415.600,190.589,0,1.694,1.446,2.583,5.063,10.659,0.257
58,2,11,415.337,191.197,0,1.967,1.479,2.709,5.474,11.929,0.170
59,2,12,414.976,192.297,0,1.314,1.475,2.722,5.567,12.322,0.200
60,2,13,414.844,192.648,0,2.163,1.355,2.310,4.356,8.921,0.204
61,2,14,415.216,192.216,0,2.801,1.346,2.264,4.186,8.340,0.173
62,2,15,414.691,192.275,0,3.062,1.354,2.282,4.215,8.356,0.143
63,2,16,413.646,193.284,0,3.361,1.330,2.205,3.993,7.737,0.125
64,2,17,412.908,193.572,0,3.048,1.375,2.364,4.478,9.157,0.218
65,2,18,412.746,193.420,0,3.325,1.334,2.216,4.019,7.803,0.125
66,2,19,413.218,192.349,0,3.557,1.336,2.230,4.083,8.040,0.200
67,2,20,413.009,192.250,0,2.844,1.382,2.397,4.603,9.584,0.213
68,2,21,412.252,192.548,0,3.374,1.349,2.271,4.197,8.348,0.167
69,2,22,412.474,192.477,0,2.977,1.319,2.161,3.857,7.349,0.170
70,2,23,412.757,192.522,0,3.173,1.329,2.202,3.994,7.776,0.146
71,2,24,412.589,192.489,0,3.434,1.336,2.214,3.997,7.706,0.220
72,2,25,412.657,192.306,0,3.219,1.359,2.291,4.222,8.331,0.226
73,2,26,413.370,192.730,0,3.190,1.330,2.202,3.979,7.700,0.255
74,2,27,413.452,193.018,0,2.994,1.381,2.384,4.539,9.343,0.377
75,2,28,414.070,192.846,0,2.884,1.370,2.357,4.481,9.227,0.143
76,2,29,414.791,192.971,0,2.550,1.392,2.421,4.640,9.595,0.226
77,2,30,414.582,192.764,0,2.951,1.362,2.301,4.252,8.421,0.271
78,2,31,413.652,193.139,0,2.688,1.386,2.407,4.620,9.598,0.150
79,2,32,413.446,192.703,0,3.092,1.334,2.213,4.016,7.813,0.142
80,2,33,413.689,193.021,0,2.993,1.403,2.459,4.759,9.958,0.143
81,2,34,414.484,193.009,0,2.963,1.391,2.419,4.646,9.651,0.400
82,2,35,414.767,192.872,0,2.900,1.385,2.394,4.553,9.340,0.235
83,2,36,414.408,192.707,0,2.923,1.338,2.234,4.090,8.058,0.201
84,2,37,414.527,192.307,0,3.158,1.313,2.155,3.868,7.451,0.203
85,2,38,414.084,191.693,0,3.315,1.356,2.306,4.320,8.753,0.307
86,2,39,413.817,192.117,0,2.690,1.392,2.426,4.672,9.731,0.177
87,2,40,413.525,192.143,0,3.390,1.352,2.276,4.205,8.350,0.270
88,2,41,413.560,191.811,0,3.888,1.321,2.171,3.893,7.471,0.125
89,2,42,413.405,191.607,0,3.674,1.341,2.227,4.027,7.769,0.236
90,2,43,413.371,191.375,0,3.544,1.330,2.196,3.953,7.604,0.125
91,2,44,413.180,190.805,0,3.345,1.410,2.470,4.760,9.887,0.146
92,2,45,413.227,191.920,0,4.003,1.376,2.378,4.550,9.442,0.143
93,2,46,413.213,192.472,0,3.820,1.342,2.254,4.161,8.280,0.193
94,2,47,413.438,192.635,0,3.737,1.335,2.228,4.078,8.025,0.199
95,2,48,413.088,192.103,0,3.808,1.394,2.439,4.713,9.850,0.177
96,2,49,413.363,192.229,0,3.607,1.325,2.205,4.040,7.995,0.167
97,2,50,413.160,191.749,0,4.094,1.377,2.370,4.496,9.203,0.125
98,2,51,413.047,191.639,0,4.159,1.368,2.337,4.397,8.924,0.131
