 ,Trajectory,Frame,x,y,z,m0,m1,m2,m3,m4,NPscore
1,1,0,195.458,48.405,0,0.590,1.547,2.921,6.063,13.519,0.099
2,1,1,193.779,48.547,0,0.782,1.454,2.607,5.128,10.821,0.056
3,1,2,194.216,48.521,0,0.746,1.387,2.403,4.587,9.441,0.095
4,1,3,194.051,49.084,0,0.875,1.421,2.536,5.018,10.760,0.074
5,1,4,192.514,48.485,0,0.853,1.380,2.379,4.508,9.199,0.077
6,1,5,193.422,48.838,0,0.726,1.400,2.450,4.749,9.992,0.056
7,1,6,192.593,49.177,0,0.741,1.400,2.428,4.615,9.405,0.105
8,1,7,193.316,49.216,0,0.990,1.354,2.290,4.262,8.555,0.081
9,1,8,193.684,48.630,0,1.157,1.323,2.177,3.914,7.537,0.048
10,1,9,192.716,49.074,0,1.039,1.424,2.524,4.933,10.398,0.065
11,1,10,192.475,47.657,0,1.337,1.350,2.277,4.227,8.472,0.058
12,1,11,192.888,46.440,0,1.047,1.374,2.364,4.473,9.122,0.034
13,1,12,192.339,46.758,0,0.652,1.510,2.840,5.921,13.349,0.102
14,1,13,192.311,46.546,0,0.951,1.481,2.682,5.319,11.306,0.068
15,1,14,191.718,47.829,0,0.800,1.475,2.689,5.403,11.710,0.109
16,1,15,192.663,49.604,0,0.692,1.440,2.566,5.043,10.689,0.113
17,1,16,192.433,49.803,0,0.787,1.399,2.432,4.644,9.542,0.068
18,1,17,191.518,50.190,0,0.679,1.369,2.363,4.518,9.384,0.096
19,1,18,191.499,50.467,0,0.654,1.416,2.485,4.774,9.821,0.100
20,2,0,375.672,116.931,0,1.072,1.433,2.578,5.155,11.185,0.054
21,2,1,375.795,119.068,0,1.275,1.398,2.438,4.673,9.637,0.067
22,2,2,375.902,120.709,0,1.121,1.445,2.582,5.075,10.732,0.043
23,2,3,375.788,121.034,0,1.294,1.399,2.453,4.755,9.982,0.047
24,2,4,376.096,120.289,0,1.448,1.366,2.351,4.494,9.352,0.049
25,2,5,376.730,120.088,0,1.272,1.436,2.568,5.075,10.834,0.061
26,2,6,378.273,118.897,0,0.910,1.491,2.754,5.622,12.389,0.084
27,3,0,372.250,125.770,0,0.616,1.259,2.062,3.792,7.712,0.028
28,3,1,372.311,125.234,0,0.709,1.295,2.151,4.009,8.242,0.064
29,3,2,371.289,126.339,0,0.634,1.217,1.879,3.185,5.839,0.026
30,3,3,371.896,127.037,0,0.720,1.252,1.987,3.460,6.482,0.030
31,3,4,372.472,128.053,0,0.767,1.407,2.582,5.366,12.266,0.092
32,4,0,374.370,130.747,0,0.855,1.518,2.853,5.926,13.285,0.055
33,4,1,373.837,130.800,0,1.052,1.447,2.603,5.153,10.980,0.047
34,4,2,372.742,132.762,0,2.107,1.367,2.332,4.376,8.856,0.024
35,4,3,373.389,133.259,0,2.259,1.342,2.237,4.077,7.970,0.025
36,4,4,371.829,133.711,0,1.578,1.365,2.331,4.384,8.898,0.061
37,4,5,372.569,132.334,0,2.294,1.455,2.643,5.324,11.634,0.030
38,4,6,372.982,131.384,0,1.794,1.477,2.724,5.563,12.280,0.028
39,4,7,373.998,130.784,0,1.038,1.474,2.737,5.666,12.770,0.079
40,4,8,374.791,131.417,0,0.680,1.440,2.599,5.199,11.276,0.085
41,5,0,368.069,148.715,0,1.762,1.366,2.343,4.431,9.046,0.075
42,5,1,368.077,148.106,0,1.398,1.404,2.472,4.811,10.125,0.052
43,5,2,368.851,148.040,0,1.623,1.400,2.439,4.670,9.621,0.068
44,5,3,369.361,147.809,0,1.517,1.373,2.369,4.524,9.371,0.037
45,5,4,369.207,148.118,0,1.770,1.366,2.335,4.397,8.943,0.048
46,5,5,368.481,148.725,0,1.714,1.319,2.175,3.927,7.614,0.026
47,5,6,368.446,149.020,0,1.910,1.362,2.340,4.454,9.209,0.025
48,5,7,368.723,148.899,0,2.081,1.388,2.404,4.591,9.473,0.043
49,5,8,367.766,148.702,0,1.752,1.372,2.332,4.333,8.618,0.027
50,5,9,367.712,148.427,0,1.844,1.374,2.344,4.381,8.794,0.068
51,5,10,367.408,148.235,0,1.748,1.364,2.340,4.431,9.089,0.030
52,5,11,367.668,149.027,0,1.815,1.400,2.447,4.719,9.837,0.026
53,5,12,367.751,150.265,0,2.178,1.416,2.506,4.917,10.464,0.033
54,5,13,369.593,151.828,0,1.428,1.472,2.684,5.398,11.703,0.027
55,5,14,370.362,151.182,0,1.751,1.448,2.617,5.231,11.297,0.044
56,5,15,370.590,151.194,0,2.265,1.380,2.372,4.477,9.097,0.043
57,5,16,370.970,152.114,0,1.945,1.484,2.750,5.651,12.569,0.025
58,5,17,370.747,152.570,0,1.944,1.373,2.334,4.342,8.652,0.050
59,5,18,372.081,150.987,0,1.770,1.455,2.646,5.330,11.619,0.043
60,5,19,373.142,151.128,0,1.241,1.490,2.744,5.572,12.198,0.044
61,5,20,374.067,150.999,0,1.187,1.469,2.698,5.496,12.121,0.069
62,5,21,374.296,150.224,0,1.103,1.437,2.579,5.131,11.083,0.075
63,5,22,374.773,151.233,0,0.658,1.500,2.803,5.786,12.867,0.109
64,5,23,374.733,149.167,0,1.344,1.421,2.509,4.874,10.197,0.052
65,5,24,374.545,149.016,0,1.200,1.406,2.470,4.789,10.035,0.074
66,5,25,375.476,149.745,0,1.070,1.403,2.434,4.630,9.457,0.144
